
================================================================================
 PYTHON LIST FORMAT
================================================================================
download_blocks = [
    0.15, 0.11, 0.11, 0.14, 0.15, 0.12, 0.15, 0.15, 0.14, 0.11, 0.14, 0.14, 0.11, 0.14, 0.11, 0.12, 0.11, 0.15, 0.15, 0.16, 0.11, 0.12, 0.15, 0.15, 0.12, 0.16, 0.15, 0.11, 0.15, 0.11, 0.15, 0.15, 0.09, 0.15, 0.13, 0.12, 0.14, 0.11, 0.12, 0.12, 0.13, 0.15, 0.13, 0.12, 0.16, 0.15, 0.15, 0.11, 0.12, 0.12, 0.15, 0.14, 0.15, 0.11, 0.11, 0.11, 0.15, 0.10, 0.13, 0.14, 0.14, 0.11, 0.11, 0.10
]

====================================================================================================
 READABLE SUMMARY TABLE (Sorted by Node ID)
====================================================================================================
ID    | Node IP          | Bandwidth  | Runs (Rx)  | Avg Blocks   | Avg T-put (A/s)
----------------------------------------------------------------------------------------------------
0     | 56.125.145.117   | 50         | 10         | 9.1          | 0.15           
1     | 43.207.3.46      | 50         | 10         | 6.5          | 0.11           
2     | 52.56.166.65     | 50         | 10         | 6.7          | 0.11           
3     | 18.231.110.223   | 50         | 9          | 8.3          | 0.14           
4     | 100.48.212.154   | 50         | 10         | 9.0          | 0.15           
5     | 3.10.228.203     | 50         | 10         | 7.0          | 0.12           
6     | 18.228.118.21    | 50         | 10         | 8.9          | 0.15           
7     | 18.231.198.163   | 50         | 10         | 8.8          | 0.15           
8     | 54.233.52.58     | 50         | 10         | 8.6          | 0.14           
9     | 52.193.99.38     | 50         | 10         | 6.8          | 0.11           
10    | 44.223.7.90      | 50         | 10         | 8.5          | 0.14           
11    | 18.215.189.60    | 50         | 10         | 8.3          | 0.14           
12    | 54.238.241.114   | 50         | 10         | 6.4          | 0.11           
13    | 54.233.160.82    | 50         | 9          | 8.2          | 0.14           
14    | 3.8.163.92       | 50         | 10         | 6.7          | 0.11           
15    | 35.179.185.108   | 50         | 10         | 7.5          | 0.12           
16    | 35.72.5.83       | 50         | 10         | 6.6          | 0.11           
17    | 18.231.36.32     | 50         | 9          | 8.9          | 0.15           
18    | 3.219.234.162    | 50         | 10         | 8.9          | 0.15           
19    | 54.233.71.60     | 50         | 10         | 9.4          | 0.16           
20    | 13.114.61.185    | 50         | 10         | 6.3          | 0.11           
21    | 18.183.217.104   | 50         | 10         | 6.9          | 0.12           
22    | 44.203.205.216   | 50         | 10         | 8.9          | 0.15           
23    | 18.230.151.126   | 50         | 10         | 8.7          | 0.15           
24    | 54.238.130.153   | 50         | 10         | 6.9          | 0.12           
25    | 13.220.129.254   | 50         | 10         | 9.3          | 0.16           
26    | 3.235.51.165     | 50         | 10         | 8.8          | 0.15           
27    | 13.43.109.206    | 50         | 10         | 6.6          | 0.11           
28    | 15.228.100.151   | 50         | 10         | 8.8          | 0.15           
29    | 54.238.213.110   | 50         | 10         | 6.6          | 0.11           
30    | 98.80.202.203    | 50         | 9          | 9.0          | 0.15           
31    | 18.230.76.91     | 50         | 10         | 9.0          | 0.15           
32    | 18.175.250.35    | 50         | 9          | 5.7          | 0.09           
33    | 100.48.191.222   | 50         | 10         | 8.9          | 0.15           
34    | 18.170.102.99    | 50         | 10         | 8.0          | 0.13           
35    | 35.179.12.149    | 50         | 10         | 7.0          | 0.12           
36    | 18.230.26.43     | 50         | 9          | 8.3          | 0.14           
37    | 54.250.159.132   | 50         | 10         | 6.4          | 0.11           
38    | 54.248.46.168    | 50         | 10         | 7.0          | 0.12           
39    | 13.42.9.217      | 50         | 10         | 7.1          | 0.12           
40    | 44.200.197.12    | 50         | 9          | 8.0          | 0.13           
41    | 3.215.174.130    | 50         | 10         | 9.0          | 0.15           
42    | 35.179.116.19    | 50         | 10         | 7.5          | 0.13           
43    | 18.133.27.132    | 50         | 10         | 7.4          | 0.12           
44    | 52.67.178.30     | 50         | 10         | 9.3          | 0.16           
45    | 54.233.247.110   | 50         | 10         | 8.7          | 0.15           
46    | 52.67.138.154    | 50         | 10         | 8.7          | 0.15           
47    | 13.42.14.129     | 50         | 10         | 6.7          | 0.11           
48    | 52.197.73.99     | 50         | 10         | 7.1          | 0.12           
49    | 3.8.151.11       | 50         | 10         | 7.2          | 0.12           
50    | 34.234.207.126   | 50         | 10         | 9.1          | 0.15           
51    | 3.236.188.63     | 50         | 10         | 8.6          | 0.14           
52    | 98.92.136.16     | 50         | 10         | 9.1          | 0.15           
53    | 18.130.179.86    | 50         | 10         | 6.5          | 0.11           
54    | 13.112.161.107   | 50         | 10         | 6.2          | 0.11           
55    | 13.41.247.194    | 50         | 10         | 6.7          | 0.11           
56    | 56.124.94.82     | 50         | 10         | 8.8          | 0.15           
57    | 18.183.75.132    | 50         | 9          | 5.9          | 0.10           
58    | 3.8.197.92       | 50         | 10         | 7.8          | 0.13           
59    | 54.147.89.91     | 50         | 9          | 8.7          | 0.14           
60    | 35.171.203.150   | 50         | 10         | 8.5          | 0.14           
61    | 18.177.137.52    | 50         | 10         | 6.5          | 0.11           
62    | 57.180.247.226   | 50         | 10         | 6.3          | 0.11           
63    | 54.199.250.14    | 50         | 9          | 6.1          | 0.10           
----------------------------------------------------------------------------------------------------
