output: Running command: ./bitcoin --p2p 0.0.0.0:6042 --api 0.0.0.0:7149 -c 3.96.129.74:6042 -c 16.170.11.208:6042 --shardId 0 --nodeId 2 --experNumber 0 --shardNum 5 --shardSize 10 --blockSize 2048 --k 6 --eDiff 0000000fffffffffffffffffffffffffffffffffffffffffffffffffffffffff --iDiff 0000000fffffffffffffffffffffffffffffffffffffffffffffffffffffffff
err: [2023-12-30T02:50:55Z INFO  bitcoin] configuration: Configuration { difficulty: 0000..ffff, thredshold: 0000..ffff, block_size: 2048, k: 6, initial_balance: 1000, initial_utxo_num: 3, user_size: 3, num_tx_recv: 3, shard_id: 0, node_id: 2, max_shard_num: 256, shard_num: 5, shard_size: 10, tx_merkle_proof_len: 1, network_delay: 0, exper_number: 0 }
[2023-12-30T02:50:56Z INFO  bitcoin::manifoldchain::network::server] P2P server listening at 0.0.0.0:6042
[2023-12-30T02:50:56Z INFO  bitcoin::manifoldchain::miner] Miner initialized into paused mode
[2023-12-30T02:50:56Z INFO  bitcoin::manifoldchain::miner::worker] Miner initialized into paused mode
[2023-12-30T02:50:56Z INFO  bitcoin::manifoldchain::network::server] Establishing connection to peer 3.96.129.74:6042
[2023-12-30T02:50:56Z INFO  bitcoin::manifoldchain::transaction::generator] Generator initialized into pause mode
[2023-12-30T02:50:56Z INFO  bitcoin::manifoldchain::network::server] Connecting node's shard id: 0
[2023-12-30T02:50:56Z INFO  bitcoin::manifoldchain::api] API server listening at 0.0.0.0:7149
[2023-12-30T02:50:56Z INFO  bitcoin] Connected to outgoing peer 3.96.129.74:6042
[2023-12-30T02:50:56Z INFO  bitcoin::manifoldchain::network::server] Establishing connection to peer 16.170.11.208:6042
[2023-12-30T02:50:56Z INFO  bitcoin::manifoldchain::network::server] Connecting node's shard id: 0
[2023-12-30T02:50:56Z INFO  bitcoin] Connected to outgoing peer 16.170.11.208:6042
[2023-12-30T02:51:04Z INFO  bitcoin::manifoldchain::network::server] Incoming peer from 52.64.36.99:33586
[2023-12-30T02:51:04Z INFO  bitcoin::manifoldchain::network::server] Coming node's shard id: 0
[2023-12-30T02:51:11Z INFO  bitcoin::manifoldchain::network::server] Incoming peer from 13.211.68.104:38338
[2023-12-30T02:51:11Z INFO  bitcoin::manifoldchain::network::server] Coming node's shard id: 0
[2023-12-30T02:51:19Z INFO  bitcoin::manifoldchain::network::server] Incoming peer from 54.229.102.39:37766
[2023-12-30T02:51:19Z INFO  bitcoin::manifoldchain::network::server] Coming node's shard id: 0
[2023-12-30T02:51:28Z INFO  bitcoin::manifoldchain::network::server] Incoming peer from 51.20.235.91:54608
[2023-12-30T02:51:28Z INFO  bitcoin::manifoldchain::network::server] Coming node's shard id: 0
[2023-12-30T02:51:45Z INFO  bitcoin::manifoldchain::network::server] Incoming peer from 54.233.134.56:49386
[2023-12-30T02:51:45Z INFO  bitcoin::manifoldchain::network::server] Coming node's shard id: 0
[2023-12-30T02:51:53Z INFO  bitcoin::manifoldchain::network::server] Incoming peer from 184.169.143.147:43638
[2023-12-30T02:51:53Z INFO  bitcoin::manifoldchain::network::server] Coming node's shard id: 0
[2023-12-30T02:52:00Z INFO  bitcoin::manifoldchain::network::server] Incoming peer from 15.206.65.186:48340
[2023-12-30T02:52:00Z INFO  bitcoin::manifoldchain::network::server] Coming node's shard id: 0
[2023-12-30T02:52:23Z INFO  bitcoin::manifoldchain::network::server] Incoming peer from 13.40.0.209:43446
[2023-12-30T02:52:23Z INFO  bitcoin::manifoldchain::network::server] Coming node's shard id: 1
[2023-12-30T02:54:08Z INFO  bitcoin::manifoldchain::network::server] Incoming peer from 13.237.175.142:44570
[2023-12-30T02:54:08Z INFO  bitcoin::manifoldchain::network::server] Coming node's shard id: 2
[2023-12-30T02:55:28Z INFO  bitcoin::manifoldchain::network::server] Incoming peer from 13.236.234.12:45934
[2023-12-30T02:55:28Z INFO  bitcoin::manifoldchain::network::server] Coming node's shard id: 3
[2023-12-30T02:56:56Z INFO  bitcoin::manifoldchain::network::server] Incoming peer from 3.248.137.211:53022
[2023-12-30T02:56:56Z INFO  bitcoin::manifoldchain::network::server] Coming node's shard id: 4
[2023-12-30T02:58:54Z INFO  bitcoin::manifoldchain::transaction::generator] Generator starting in continuous mode with theta 50000000
[2023-12-30T02:58:55Z INFO  bitcoin::manifoldchain::miner] Miner starting in continuous mode with lambda 0
[2023-12-30T02:58:55Z INFO  bitcoin::manifoldchain::miner] re-package the block
[2023-12-30T03:02:58Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T03:02:58Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T03:02:58Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T03:02:58Z INFO  bitcoin::manifoldchain::network::worker] Coming inclusive blocks
[2023-12-30T03:02:58Z INFO  bitcoin::manifoldchain::network::worker] Comming block 0000..719d in shard 0
[2023-12-30T03:02:58Z INFO  bitcoin::manifoldchain::network::worker] Handling block 0000..719d in shard 0
[2023-12-30T03:02:58Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..719d
[2023-12-30T03:02:58Z INFO  bitcoin::manifoldchain::miner] re-package the block
