output: Running command: ./bitcoin --p2p 0.0.0.0:6042 --api 0.0.0.0:7149 -c 54.232.150.21:6042 -c 16.170.11.208:6042 -c 54.153.74.173:6042 --shardId 2 --nodeId 21 --experNumber 0 --shardNum 5 --shardSize 10 --blockSize 2048 --k 6 --eDiff 0000000fffffffffffffffffffffffffffffffffffffffffffffffffffffffff --iDiff 0000000fffffffffffffffffffffffffffffffffffffffffffffffffffffffff
err: [2023-12-30T02:53:59Z INFO  bitcoin] configuration: Configuration { difficulty: 0000..ffff, thredshold: 0000..ffff, block_size: 2048, k: 6, initial_balance: 1000, initial_utxo_num: 3, user_size: 3, num_tx_recv: 3, shard_id: 2, node_id: 21, max_shard_num: 256, shard_num: 5, shard_size: 10, tx_merkle_proof_len: 1, network_delay: 0, exper_number: 0 }
[2023-12-30T02:53:59Z INFO  bitcoin::manifoldchain::network::server] P2P server listening at 0.0.0.0:6042
[2023-12-30T02:53:59Z INFO  bitcoin::manifoldchain::miner] Miner initialized into paused mode
[2023-12-30T02:53:59Z INFO  bitcoin::manifoldchain::miner::worker] Miner initialized into paused mode
[2023-12-30T02:53:59Z INFO  bitcoin::manifoldchain::network::server] Establishing connection to peer 54.232.150.21:6042
[2023-12-30T02:53:59Z INFO  bitcoin::manifoldchain::transaction::generator] Generator initialized into pause mode
[2023-12-30T02:53:59Z INFO  bitcoin::manifoldchain::api] API server listening at 0.0.0.0:7149
[2023-12-30T02:54:00Z INFO  bitcoin::manifoldchain::network::server] Connecting node's shard id: 2
[2023-12-30T02:54:00Z INFO  bitcoin] Connected to outgoing peer 54.232.150.21:6042
[2023-12-30T02:54:00Z INFO  bitcoin::manifoldchain::network::server] Establishing connection to peer 16.170.11.208:6042
[2023-12-30T02:54:00Z INFO  bitcoin::manifoldchain::network::server] Connecting node's shard id: 0
[2023-12-30T02:54:00Z INFO  bitcoin] Connected to outgoing peer 16.170.11.208:6042
[2023-12-30T02:54:00Z INFO  bitcoin::manifoldchain::network::server] Establishing connection to peer 54.153.74.173:6042
[2023-12-30T02:54:00Z INFO  bitcoin::manifoldchain::network::server] Connecting node's shard id: 1
[2023-12-30T02:54:00Z INFO  bitcoin] Connected to outgoing peer 54.153.74.173:6042
[2023-12-30T02:54:07Z INFO  bitcoin::manifoldchain::network::server] Incoming peer from 13.237.175.142:44762
[2023-12-30T02:54:07Z INFO  bitcoin::manifoldchain::network::server] Coming node's shard id: 2
[2023-12-30T02:54:16Z INFO  bitcoin::manifoldchain::network::server] Incoming peer from 15.156.235.37:42862
[2023-12-30T02:54:16Z INFO  bitcoin::manifoldchain::network::server] Coming node's shard id: 2
[2023-12-30T02:54:25Z INFO  bitcoin::manifoldchain::network::server] Incoming peer from 3.11.172.47:51950
[2023-12-30T02:54:25Z INFO  bitcoin::manifoldchain::network::server] Coming node's shard id: 2
