output: Running command: ./bitcoin --p2p 0.0.0.0:6042 --api 0.0.0.0:7149 -c 3.96.129.74:6042 -c 16.170.11.208:6042 -c 15.157.129.37:6042 -c 52.64.36.99:6042 -c 13.211.68.104:6042 -c 54.229.102.39:6042 --shardId 0 --nodeId 6 --experNumber 0 --shardNum 5 --shardSize 10 --blockSize 2048 --k 6 --eDiff 0000000fffffffffffffffffffffffffffffffffffffffffffffffffffffffff --iDiff 0000000fffffffffffffffffffffffffffffffffffffffffffffffffffffffff
err: [2023-12-30T06:56:39Z INFO  bitcoin] configuration: Configuration { difficulty: 0000..ffff, thredshold: 0000..ffff, block_size: 2048, k: 6, initial_balance: 1000, initial_utxo_num: 3, user_size: 3, num_tx_recv: 3, shard_id: 0, node_id: 6, max_shard_num: 256, shard_num: 5, shard_size: 10, tx_merkle_proof_len: 1, network_delay: 0, exper_number: 0 }
[2023-12-30T06:56:39Z INFO  bitcoin::manifoldchain::network::server] P2P server listening at 0.0.0.0:6042
[2023-12-30T06:56:39Z INFO  bitcoin::manifoldchain::miner] Miner initialized into paused mode
[2023-12-30T06:56:39Z INFO  bitcoin::manifoldchain::miner::worker] Miner initialized into paused mode
[2023-12-30T06:56:39Z INFO  bitcoin::manifoldchain::network::server] Establishing connection to peer 3.96.129.74:6042
[2023-12-30T06:56:39Z INFO  bitcoin::manifoldchain::transaction::generator] Generator initialized into pause mode
[2023-12-30T06:56:39Z INFO  bitcoin::manifoldchain::api] API server listening at 0.0.0.0:7149
[2023-12-30T06:56:39Z INFO  bitcoin::manifoldchain::network::server] Connecting node's shard id: 0
[2023-12-30T06:56:39Z INFO  bitcoin] Connected to outgoing peer 3.96.129.74:6042
[2023-12-30T06:56:39Z INFO  bitcoin::manifoldchain::network::server] Establishing connection to peer 16.170.11.208:6042
[2023-12-30T06:56:39Z INFO  bitcoin::manifoldchain::network::server] Connecting node's shard id: 0
[2023-12-30T06:56:39Z INFO  bitcoin] Connected to outgoing peer 16.170.11.208:6042
[2023-12-30T06:56:39Z INFO  bitcoin::manifoldchain::network::server] Establishing connection to peer 15.157.129.37:6042
[2023-12-30T06:56:40Z INFO  bitcoin::manifoldchain::network::server] Connecting node's shard id: 0
[2023-12-30T06:56:40Z INFO  bitcoin] Connected to outgoing peer 15.157.129.37:6042
[2023-12-30T06:56:40Z INFO  bitcoin::manifoldchain::network::server] Establishing connection to peer 52.64.36.99:6042
[2023-12-30T06:56:40Z INFO  bitcoin::manifoldchain::network::server] Connecting node's shard id: 0
[2023-12-30T06:56:40Z INFO  bitcoin] Connected to outgoing peer 52.64.36.99:6042
[2023-12-30T06:56:40Z INFO  bitcoin::manifoldchain::network::server] Establishing connection to peer 13.211.68.104:6042
[2023-12-30T06:56:41Z INFO  bitcoin::manifoldchain::network::server] Connecting node's shard id: 0
[2023-12-30T06:56:41Z INFO  bitcoin] Connected to outgoing peer 13.211.68.104:6042
[2023-12-30T06:56:41Z INFO  bitcoin::manifoldchain::network::server] Establishing connection to peer 54.229.102.39:6042
[2023-12-30T06:56:41Z INFO  bitcoin::manifoldchain::network::server] Connecting node's shard id: 0
[2023-12-30T06:56:41Z INFO  bitcoin] Connected to outgoing peer 54.229.102.39:6042
[2023-12-30T06:56:58Z INFO  bitcoin::manifoldchain::network::server] Incoming peer from 54.233.134.56:58094
[2023-12-30T06:56:58Z INFO  bitcoin::manifoldchain::network::server] Coming node's shard id: 0
