output: Running command: ./bitcoin --p2p 0.0.0.0:6042 --api 0.0.0.0:7149 -c 52.207.199.152:6042 -c 3.227.140.65:6042 -c 3.85.252.146:6042 -c 44.222.24.121:6042 -c 34.235.25.14:6042 -c 13.237.175.142:6042 -c 13.238.16.52:6042 -c 13.236.234.12:6042 -c 13.211.68.104:6042 --shardId 0 --nodeId 9 --experNumber 0 --shardNum 5 --shardSize 10 --blockSize 2048 --k 6 --eDiff 0000007fffffffffffffffffffffffffffffffffffffffffffffffffffffffff --iDiff 0000007fffffffffffffffffffffffffffffffffffffffffffffffffffffffff
err: [2023-12-29T10:00:44Z INFO  bitcoin] configuration: Configuration { difficulty: 0000..ffff, thredshold: 0000..ffff, block_size: 2048, k: 6, initial_balance: 1000, initial_utxo_num: 3, user_size: 3, num_tx_recv: 3, shard_id: 0, node_id: 9, max_shard_num: 256, shard_num: 5, shard_size: 10, tx_merkle_proof_len: 1, network_delay: 0, exper_number: 0 }
[2023-12-29T10:00:44Z INFO  bitcoin::manifoldchain::network::server] P2P server listening at 0.0.0.0:6042
[2023-12-29T10:00:44Z INFO  bitcoin::manifoldchain::miner] Miner initialized into paused mode
[2023-12-29T10:00:44Z INFO  bitcoin::manifoldchain::miner::worker] Miner initialized into paused mode
[2023-12-29T10:00:44Z INFO  bitcoin::manifoldchain::network::server] Establishing connection to peer 52.207.199.152:6042
[2023-12-29T10:00:44Z INFO  bitcoin::manifoldchain::transaction::generator] Generator initialized into pause mode
[2023-12-29T10:00:44Z INFO  bitcoin::manifoldchain::api] API server listening at 0.0.0.0:7149
[2023-12-29T10:00:45Z INFO  bitcoin::manifoldchain::network::server] Connecting node's shard id: 0
[2023-12-29T10:00:45Z INFO  bitcoin] Connected to outgoing peer 52.207.199.152:6042
[2023-12-29T10:00:45Z INFO  bitcoin::manifoldchain::network::server] Establishing connection to peer 3.227.140.65:6042
[2023-12-29T10:00:45Z INFO  bitcoin::manifoldchain::network::server] Connecting node's shard id: 0
[2023-12-29T10:00:45Z INFO  bitcoin] Connected to outgoing peer 3.227.140.65:6042
[2023-12-29T10:00:45Z INFO  bitcoin::manifoldchain::network::server] Establishing connection to peer 3.85.252.146:6042
[2023-12-29T10:00:46Z INFO  bitcoin::manifoldchain::network::server] Connecting node's shard id: 0
[2023-12-29T10:00:46Z INFO  bitcoin] Connected to outgoing peer 3.85.252.146:6042
[2023-12-29T10:00:46Z INFO  bitcoin::manifoldchain::network::server] Establishing connection to peer 44.222.24.121:6042
[2023-12-29T10:00:46Z INFO  bitcoin::manifoldchain::network::server] Connecting node's shard id: 0
[2023-12-29T10:00:46Z INFO  bitcoin] Connected to outgoing peer 44.222.24.121:6042
[2023-12-29T10:00:46Z INFO  bitcoin::manifoldchain::network::server] Establishing connection to peer 34.235.25.14:6042
[2023-12-29T10:00:46Z INFO  bitcoin::manifoldchain::network::server] Connecting node's shard id: 0
[2023-12-29T10:00:46Z INFO  bitcoin] Connected to outgoing peer 34.235.25.14:6042
[2023-12-29T10:00:46Z INFO  bitcoin::manifoldchain::network::server] Establishing connection to peer 13.237.175.142:6042
[2023-12-29T10:00:46Z INFO  bitcoin::manifoldchain::network::server] Connecting node's shard id: 0
[2023-12-29T10:00:46Z INFO  bitcoin] Connected to outgoing peer 13.237.175.142:6042
[2023-12-29T10:00:46Z INFO  bitcoin::manifoldchain::network::server] Establishing connection to peer 13.238.16.52:6042
[2023-12-29T10:00:46Z INFO  bitcoin::manifoldchain::network::server] Connecting node's shard id: 0
[2023-12-29T10:00:46Z INFO  bitcoin] Connected to outgoing peer 13.238.16.52:6042
[2023-12-29T10:00:46Z INFO  bitcoin::manifoldchain::network::server] Establishing connection to peer 13.236.234.12:6042
[2023-12-29T10:00:46Z INFO  bitcoin::manifoldchain::network::server] Connecting node's shard id: 0
[2023-12-29T10:00:46Z INFO  bitcoin] Connected to outgoing peer 13.236.234.12:6042
[2023-12-29T10:00:46Z INFO  bitcoin::manifoldchain::network::server] Establishing connection to peer 13.211.68.104:6042
[2023-12-29T10:00:46Z INFO  bitcoin::manifoldchain::network::server] Connecting node's shard id: 0
[2023-12-29T10:00:46Z INFO  bitcoin] Connected to outgoing peer 13.211.68.104:6042
[2023-12-29T10:02:27Z INFO  bitcoin::manifoldchain::network::server] Incoming peer from 15.156.235.37:51628
[2023-12-29T10:02:27Z INFO  bitcoin::manifoldchain::network::server] Coming node's shard id: 1
[2023-12-29T10:04:22Z INFO  bitcoin::manifoldchain::network::server] Incoming peer from 54.153.89.176:59380
[2023-12-29T10:04:22Z INFO  bitcoin::manifoldchain::network::server] Coming node's shard id: 2
[2023-12-29T10:05:36Z INFO  bitcoin::manifoldchain::network::server] Incoming peer from 13.50.83.214:43838
[2023-12-29T10:05:36Z INFO  bitcoin::manifoldchain::network::server] Coming node's shard id: 3
[2023-12-29T10:06:51Z INFO  bitcoin::manifoldchain::network::server] Incoming peer from 3.248.137.211:33564
