output: Running command: ./powchain optchain --p2p 0.0.0.0:6042 --api 0.0.0.0:7149 -c 34.232.80.65:6042 -c 43.206.240.251:6042 -c 3.227.10.140:6042 -c 18.230.6.85:6042 -c 18.175.173.132:6042 -c 13.222.15.45:6042 -c 52.194.192.174:6042 -c 35.179.147.144:6042 -c 43.206.209.204:6042 -c 52.192.249.121:6042 -c 100.28.124.199:6042 -c 35.179.126.229:6042 -c 44.211.33.45:6042 -c 54.238.229.190:6042 -c 18.228.197.69:6042 -c 18.231.124.203:6042 -c 100.48.58.194:6042 -c 13.42.62.253:6042 -c 54.207.12.125:6042 -c 57.180.34.216:6042 -c 13.231.41.56:6042 -c 3.235.40.112:6042 -c 13.114.163.116:6042 -c 98.93.195.143:6042 -c 56.125.187.80:6042 -c 35.178.16.106:6042 -c 44.192.54.14:6042 -c 18.231.248.1:6042 -c 100.28.127.10:6042 -c 56.124.95.103:6042 -c 35.178.14.224:6042 -c 3.238.24.7:6042 -c 56.124.8.33:6042 -c 52.197.126.195:6042 -c 3.235.141.98:6042 -c 18.231.10.83:6042 -c 13.42.8.31:6042 -c 54.232.69.165:6042 -c 54.248.24.7:6042 -c 54.207.11.218:6042 -c 18.130.112.203:6042 -c 15.228.222.108:6042 -c 35.77.92.145:6042 -c 54.233.211.157:6042 -c 34.204.189.88:6042 -c 18.133.76.232:6042 -c 52.195.236.103:6042 -c 13.217.217.47:6042 -c 54.207.148.13:6042 -c 44.220.51.95:6042 --shardId 3 --nodeId 2 --experNumber 34 --experIter 0 --shardNum 4 --shardSize 16 --blockSize 8192 --symbolSize 64 --propSize 16 --avaiSize 16 --eReq 2 --iReq 2 --k 6 --tDiff 000015ffffffffffffffffffffffffffffffffffffffffffffffffffffffffdc --pDiff 0000029696969696969696969696969696969696969696969696969696969692 --aDiff 000000a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a4 --iDiff 0000000cbdf90cbdf90cbdf90cbdf90cbdf90cbdf90cbdf90cbdf90cbdf90cbd --oDiff 0000014b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b49
err: [2025-12-21T00:09:15Z INFO  powchain::optchain] configuration: Configuration { tx_diff: 0000..ffdc, prop_diff: 0000..9692, avai_diff: 0000..a5a4, in_avai_diff: 0000..0cbd, order_diff: 0000..4b49, block_size: 8192, symbol_size: 64, num_symbol_per_block: 128, prop_size: 16, avai_size: 16, ex_req_num: 2, in_req_num: 2, k: 6, shard_id: 3, node_id: 2, shard_num: 4, shard_size: 16, exper_number: 34, exper_iter: 0 }
[2025-12-21T00:09:16Z INFO  powchain::optchain::network::server] P2P server listening at 0.0.0.0:6042
[2025-12-21T00:09:16Z INFO  powchain::optchain::network::worker] num of network workers: 1
[2025-12-21T00:09:16Z INFO  powchain::optchain::miner] Miner initialized into paused mode
[2025-12-21T00:09:16Z INFO  powchain::optchain::miner::worker] Miner initialized into paused mode
[2025-12-21T00:09:16Z INFO  powchain::optchain::api] API server listening at 0.0.0.0:7149
[2025-12-21T00:09:16Z INFO  powchain::optchain::network::server] Establishing connection to peer 34.232.80.65:6042
[2025-12-21T00:09:16Z INFO  powchain::optchain::network::server] Connecting node's shard id: 0
[2025-12-21T00:09:16Z INFO  powchain::optchain] Connected to outgoing peer 34.232.80.65:6042
[2025-12-21T00:09:16Z INFO  powchain::optchain::network::server] Establishing connection to peer 43.206.240.251:6042
[2025-12-21T00:09:16Z INFO  powchain::optchain::network::server] Connecting node's shard id: 0
[2025-12-21T00:09:16Z INFO  powchain::optchain] Connected to outgoing peer 43.206.240.251:6042
[2025-12-21T00:09:16Z INFO  powchain::optchain::network::server] Establishing connection to peer 3.227.10.140:6042
[2025-12-21T00:09:16Z INFO  powchain::optchain::network::server] Connecting node's shard id: 0
[2025-12-21T00:09:16Z INFO  powchain::optchain] Connected to outgoing peer 3.227.10.140:6042
[2025-12-21T00:09:16Z INFO  powchain::optchain::network::server] Establishing connection to peer 18.230.6.85:6042
[2025-12-21T00:09:17Z INFO  powchain::optchain::network::server] Connecting node's shard id: 0
[2025-12-21T00:09:17Z INFO  powchain::optchain] Connected to outgoing peer 18.230.6.85:6042
[2025-12-21T00:09:17Z INFO  powchain::optchain::network::server] Establishing connection to peer 18.175.173.132:6042
[2025-12-21T00:09:17Z INFO  powchain::optchain::network::server] Connecting node's shard id: 0
[2025-12-21T00:09:17Z INFO  powchain::optchain] Connected to outgoing peer 18.175.173.132:6042
[2025-12-21T00:09:17Z INFO  powchain::optchain::network::server] Establishing connection to peer 13.222.15.45:6042
[2025-12-21T00:09:17Z INFO  powchain::optchain::network::server] Connecting node's shard id: 0
[2025-12-21T00:09:17Z INFO  powchain::optchain] Connected to outgoing peer 13.222.15.45:6042
[2025-12-21T00:09:17Z INFO  powchain::optchain::network::server] Establishing connection to peer 52.194.192.174:6042
[2025-12-21T00:09:17Z INFO  powchain::optchain::network::server] Connecting node's shard id: 0
[2025-12-21T00:09:17Z INFO  powchain::optchain] Connected to outgoing peer 52.194.192.174:6042
[2025-12-21T00:09:17Z INFO  powchain::optchain::network::server] Establishing connection to peer 35.179.147.144:6042
